timestamp(ms),tracked,camPosX,camPosY,camPosZ,camRotX,camRotY,camRotZ,gazePosX,gazePosY,gazePosZ,gazeRotX,gazeRotY,gazeRotZ
21.9411,False,45.1,10,141.4,0,0,0,0,0,0,0,0,0
24.9329,False,45.1,10,141.4,0,0,0,0,0,0,0,0,0
2068.385,False,45.1,10,141.4,0,0,0,0,0,0,0,0,0
5050.2841,False,45.1,10,141.4,0,0,0,0,0,0,0,0,0
5235.0639,True,45.28187,12.17322,141.4853,2.538125,357.1231,359.4752,0.000273262,0.002655479,0.03963114,359.5269,185.6772,9.52057
5260.9942,True,45.28189,12.17322,141.4857,2.585288,357.066,359.5436,0.0002720795,0.002666359,0.03966499,355.8213,186.5252,65.23658
5331.8054,True,45.28267,12.17347,141.486,2.479324,357.1325,359.4651,0.0002714157,0.002663902,0.03967088,0.1111077,186.0036,357.8814
5352.7498,True,45.28291,12.1735,141.486,2.454422,357.1575,359.4448,0.0002758331,0.002669579,0.03971676,355.8748,186.5125,64.6697
5372.6961,True,45.28318,12.17358,141.4862,2.408516,357.1729,359.4149,0.0002798462,0.002670937,0.03972563,356.9672,185.8569,54.7218
5394.1199,True,45.28327,12.17355,141.4863,2.405302,357.1667,359.398,0.000281929,0.002672203,0.03973611,355.7039,185.461,76.36774
5415.0641,True,45.28339,12.17352,141.4863,2.415607,357.1478,359.3948,0.0002843475,0.002671333,0.03974283,355.1615,185.4637,83.04528
5436.0079,True,45.28353,12.17347,141.4862,2.416208,357.1426,359.4005,0.0002880402,0.002670563,0.03976004,355.342,185.4841,80.67461
5456.9519,True,45.28359,12.17343,141.4861,2.419777,357.1284,359.4005,0.0002908401,0.002668564,0.03976322,355.8531,185.571,73.30628
5476.8985,True,45.28356,12.17344,141.4862,2.422977,357.1164,359.4074,0.0002914353,0.002661125,0.03976564,355.4308,184.9009,85.98327
5497.8423,True,45.28362,12.17341,141.4862,2.421561,357.1006,359.4115,0.0002917938,0.002664062,0.0397845,354.9581,184.0763,102.1025
5517.789,True,45.28371,12.17341,141.4862,2.421489,357.0973,359.4017,0.0002936096,0.00266761,0.03979474,354.8312,183.9409,105.3699
5537.7361,True,45.28381,12.17333,141.4862,2.432205,357.0702,359.3874,0.0005075226,0.002534615,0.03996182,356.4036,179.2893,202.3503
5558.192,True,45.28387,12.17325,141.4863,2.465557,357.056,359.3639,0.0006279297,0.002489128,0.04004267,354.5506,177.659,226.4706
5578.1379,True,45.284,12.17317,141.4863,2.491175,357.047,359.3424,0.0006163559,0.0025289,0.04015117,355.786,177.7673,235.815
5599.082,True,45.28401,12.17306,141.4865,2.520388,357.0526,359.3216,0.000616684,0.002526962,0.04014436,355.333,178.2312,221.4966
5620.0255,True,45.28412,12.17309,141.4864,2.525938,357.0579,359.3304,0.0006174698,0.002475327,0.04000409,355.1849,178.2025,220.9231
5639.9722,True,45.28429,12.17294,141.4865,2.562341,357.0757,359.3111,0.0006174317,0.002475769,0.04000409,355.2504,178.1694,222.1376
5659.919,True,45.28432,12.17286,141.4867,2.590881,357.0956,359.3056,0.0006178513,0.002475449,0.04000174,355.4355,178.1099,224.9706
5679.8655,True,45.28449,12.17278,141.4867,2.630438,357.0963,359.3197,0.0006186142,0.002475174,0.04000019,355.3409,178.0764,224.8493
5699.8127,True,45.28456,12.17267,141.4868,2.681497,357.089,359.3107,0.0006192398,0.002474571,0.03999902,355.2108,178.0405,224.4837
5719.7589,True,45.28466,12.17253,141.4868,2.750628,357.0792,359.2813,0.0006246719,0.002470627,0.0399699,355.1964,177.9014,227.1791
5738.7085,True,45.28462,12.1725,141.4868,2.761883,357.0718,359.2728,0.0006309052,0.002469871,0.03997007,355.4672,177.7224,233.339
5757.6576,True,45.28442,12.17225,141.4871,2.882355,357.028,359.2501,0.0006341477,0.002478401,0.04000759,355.3625,177.6772,233.1923
5776.6069,True,45.28395,12.17192,141.4875,3.032223,356.957,359.3164,0.0006662369,0.002477028,0.04004848,356.7009,177.6086,251.8673
5795.5564,True,45.28354,12.17141,141.4877,3.264225,356.826,359.4721,0.0006729431,0.002497597,0.04012454,356.5846,177.4821,252.7903
5815.502,True,45.28329,12.17117,141.4879,3.377797,356.7729,359.5394,0.0006747131,0.00249334,0.04012218,355.3468,177.1732,242.5386
5834.4524,True,45.28203,12.16978,141.4888,4.038029,356.4765,359.8707,0.000674797,0.002477478,0.04009277,356.6403,177.4348,254.7182
5854.399,True,45.28079,12.16797,141.4896,4.820103,356.1587,0.2305764,0.000692894,0.002375427,0.03986973,354.8012,179.4198,192.7273
5873.3481,True,45.27903,12.16549,141.4906,5.880898,355.7354,0.642216,0.0007047958,0.002375275,0.03988821,353.066,180.3913,173.5482
5891.8073,True,45.27864,12.16479,141.4907,6.147032,355.6001,0.6836071,0.0007413406,0.002389908,0.04009966,355.1293,180.3285,172.2875
5911.7531,True,45.27562,12.15996,141.4923,8.12155,354.7573,1.272672,0.001021515,0.001747459,0.03990732,350.3499,174.1014,242.7956
5931.1506,True,45.27303,12.15571,141.4936,9.783114,354.0582,1.632757,0.001115387,0.001478798,0.04016105,346.3044,174.0632,226.71
5951.0964,True,45.27014,12.1507,141.495,11.68716,353.3151,1.918627,0.001138229,0.001399124,0.04018649,342.8117,172.6432,226.0883
5970.0467,True,45.26997,12.15001,141.4949,11.89516,353.2508,1.885074,0.001083359,0.00147467,0.04016126,345.6544,173.4469,228.9222
5989.9934,True,45.26563,12.14157,141.4968,15.02374,352.0966,2.206092,0.001034393,0.001594185,0.04012562,345.7773,174.2479,223.8684
6010.9372,True,45.26261,12.13507,141.4978,17.37299,351.2783,2.327571,0.0009310684,0.001768692,0.04000624,349.1913,175.5278,224.8558
6029.8873,True,45.25658,12.12236,141.5003,22.03622,349.6396,2.445409,0.0008646011,0.002104126,0.04035054,351.9353,174.9574,243.9815
6049.341,True,45.25518,12.11888,141.501,23.1594,349.2048,2.421215,0.0007662735,0.002249191,0.04015414,349.2985,176.0122,220.781
6070.2851,True,45.25213,12.11223,141.5023,25.28441,348.3995,2.35169,0.000681839,0.002395721,0.04038946,353.2684,176.9622,228.5369
6089.2347,True,45.24921,12.10579,141.5038,27.38445,347.6097,2.161229,0.0006832809,0.002124809,0.04024374,347.4706,177.5408,202.1258
6108.1837,True,45.24641,12.09939,141.5053,29.40976,346.9055,2.000185,0.0006198044,0.001855926,0.04015564,344.4048,177.8206,195.8157
6131.6274,True,45.24395,12.09291,141.5063,31.35184,346.1983,1.788486,0.0005561218,0.001844864,0.04016041,345.838,178.0714,195.4331
6152.2443,True,45.24182,12.08707,141.5071,33.21092,345.5453,1.590574,0.0004432373,0.001974541,0.04018235,347.9059,179.3807,185.8415
6175.1829,True,45.23989,12.08296,141.5086,34.58589,345.0043,1.433007,0.0003636093,0.00214283,0.04021846,349.7165,180.4492,175.0107
6197.1334,True,45.23797,12.07976,141.5104,35.35794,344.6147,1.261327,0.0002649612,0.002341453,0.04021057,350.4779,181.5051,162.0759
6219.4816,True,45.23664,12.07705,141.5121,36.10979,344.4732,1.069528,0.0001617355,0.002415855,0.04021095,352.4778,181.7587,153.7153
6241.0556,True,45.23565,12.07442,141.5135,36.81826,344.4323,0.8420426,0.0001324387,0.002448967,0.04033446,353.7878,182.9641,129.0181
6263.9944,True,45.23509,12.07236,141.515,37.40649,344.5567,0.6813092,9.454346E-05,0.002441612,0.04020134,354.3302,183.2586,120.2537
6286.9329,True,45.23495,12.07082,141.5163,37.88908,344.8254,0.6207518,7.491303E-05,0.002525413,0.04030382,356.3406,183.3057,95.8169
6309.8713,True,45.23518,12.06989,141.5181,38.20472,345.3013,0.6327578,6.217194E-05,0.002523178,0.04022849,354.9851,183.0794,116.917
6330.8154,True,45.23598,12.06918,141.5196,38.33817,345.9615,0.6064852,5.344391E-05,0.002724731,0.04075769,358.3826,183.5081,49.49234
6352.6777,True,45.23747,12.06927,141.5212,38.35249,346.9364,0.6113646,1.657868E-05,0.002561485,0.04024304,356.7718,183.818,80.42603
6374.6191,True,45.24014,12.07026,141.5229,38.03578,348.3849,0.7464384,-2.705383E-05,0.002577194,0.04020772,359.7655,183.4411,7.795466
6397.5578,True,45.24469,12.07265,141.5249,37.31205,350.6316,1.169186,-0.0002842178,0.002678444,0.04017682,0.5292583,183.261,341.5675
6419.9429,True,45.25055,12.0759,141.5272,36.24958,353.636,1.740225,-0.001347481,0.003134995,0.04048001,3.646432,191.9492,326.165
6441.6799,True,45.25778,12.07971,141.5293,34.81252,357.3561,2.589558,-0.001935051,0.003409798,0.0407039,6.514653,197.2609,318.8911
6463.6214,True,45.26562,12.08362,141.5307,33.32976,1.255135,3.471763,-0.00244352,0.003629585,0.04091549,6.897137,201.3832,324.5956
6485.5626,True,45.27436,12.08764,141.5311,31.92098,5.129125,4.087924,-0.002574768,0.003604492,0.04103029,8.539711,203.3607,320.2857
6508.5005,True,45.28355,12.09162,141.5305,30.50036,9.04969,4.548219,-0.002482857,0.003574593,0.04104338,11.23011,203.2895,308.9914
6530.2364,True,45.2923,12.09541,141.5294,29.06398,12.92147,5.129457,-0.002049187,0.003397598,0.04089657,12.06266,201.4268,301.637
6552.1776,True,45.30072,12.09894,141.5276,27.78845,16.5019,5.688361,-0.001500359,0.003171387,0.04067295,11.06519,196.0557,291.0379
6575.1166,True,45.3086,12.10218,141.5245,26.71342,19.69779,6.145978,-0.001118164,0.003062264,0.04057284,10.54988,193.6035,284.5153
6597.0569,True,45.31591,12.1053,141.5215,25.65273,22.59631,6.383949,-0.0005988617,0.002824348,0.03994864,9.60932,189.7478,270.8239
6619.9968,True,45.3226,12.10837,141.5182,24.60779,25.27075,6.493897,-0.00016642,0.003102364,0.04089483,8.431491,185.301,244.2601
6641.9581,True,45.32821,12.11143,141.5152,23.55447,27.59706,6.560627,0.0001273041,0.003222061,0.04127702,7.583042,183.0594,223.8952
6665.894,True,45.33288,12.11432,141.512,22.59226,29.31658,6.412049,0.0001420059,0.00323053,0.04072446,10.2263,184.6399,228.7188
6687.8355,True,45.3367,12.11748,141.5097,21.53947,30.67489,6.081403,0.0002446442,0.003483269,0.04062741,13.6104,183.9653,212.3538
6707.7821,True,45.3401,12.12076,141.5078,20.39456,31.84767,5.669679,0.0004306107,0.003497307,0.04078547,11.50342,182.0063,199.7236
6730.725,True,45.34262,12.12334,141.5058,19.50681,32.65369,5.20297,0.0006418839,0.003461075,0.04104069,11.67307,180.5367,185.2468
6752.6704,True,45.34478,12.12565,141.5039,18.78429,33.32215,4.811025,0.0008021622,0.003396858,0.04118478,9.352114,177.6009,151.2813
6774.6118,True,45.34663,12.12811,141.5021,18.0637,33.78144,4.404339,0.000874382,0.003280327,0.04087464,8.59035,176.56,136.415
6796.5529,True,45.34549,12.12798,141.5024,18.17758,33.40958,4.41034,0.0009610748,0.003305946,0.0411047,8.356491,174.7987,116.2576
6815.5016,True,45.34585,12.12895,141.5018,17.8799,33.52941,4.210175,0.0007718353,0.003213776,0.04092554,7.726946,177.4491,143.5068
6834.4836,True,45.34619,12.13014,141.5012,17.55041,33.70375,3.988932,-0.0002298965,0.003222137,0.04081463,9.865736,188.7925,263.387
6853.4048,True,45.34906,12.13336,141.4985,16.5155,34.37262,3.278471,-0.0004204788,0.003239647,0.04082847,8.466229,189.3581,275.7523
6872.3544,True,45.35052,12.1354,141.4968,15.86725,34.8311,2.839388,-0.0004163284,0.003207718,0.04081799,8.025581,189.757,281.1665
